Algorithm Name,Scalability,Success Rate 95%,Success Rate 99%,Feasibility Percentage
QAOA_COBLYA,(vrp-2-1-1; vrp-4-2-1),0.8333333333333334,0.6666666666666666,0.18181818181818182
QAOA_SPSA,(vrp-2-1-1; vrp-4-2-1),1.0,0.8333333333333334,0.18181818181818182
SA,(vrp-2-1-1; vrp-15-3-1),0.7575757575757576,0.696969696969697,1.0
VQE_COBLYA_RA,(vrp-2-1-1; vrp-3-2-1),0.3333333333333333,0.3333333333333333,0.09090909090909091
VQE_SPSA_RA,(vrp-2-1-1; vrp-4-2-1),0.8333333333333334,0.8333333333333334,0.18181818181818182
